Tournament1,Tournament2,SharedPlayers
2013 New England Junior Open (NEJO),2014 New England Junior Open (NEJO),83
2023 EGRET CHICAGO RED CROSS OPEN,2023 MBC Chicago Open,80
2023 EGRET CHICAGO RED CROSS OPEN,CBA-Yonex Open 2022,22
2023 EGRET CHICAGO RED CROSS OPEN,2024 Chicago Senior Open Championship,16
BCC Open 2015,BCC Spring Classic 2015,43
MBBC Junior International U-22+,2014 MBBC Jr International,14
2017 MBBC Junior International,2017 LABC Junior Open,17
2019 MBBC Junior International Championships,2019 SMASH! BADMINTON SAN DIEGO OPEN LOCAL CHAMPIONSHIPS,43
2016 Puccini Texas Championship,2016 DBC Summer Bash,40
XII Santo Domingo Open 2022 (New dates),X Santo Domingo Open 2019,25
Connecticut Open - 2019,Connecticut Open - 2020,26
2016 Mid-Atlantic Badminton Classic,2015 Mid-Atlantic Badminton Classic - Powered by YONEX,24
2016 Mid-Atlantic Badminton Classic,Smashville B-DAY 2017,2
YONEX German Junior 2015,Yonex Dutch Junior 2015,81
Swiss Junior Open 2015,Yonex Italian Junior 2015,47
Swiss Junior Open 2015,21. Slovenia Junior 2015,34
Yonex Korea Junior Open Badminton Championships 2015,MIRYANG WONCHEON YONEX Korea Junior Open International Challenge 2018,221
Yonex Korea Junior Open Badminton Championships 2015,"Korea Junior Open Badminton Championships 2013 (U17,U15,U13)",140
"2024 Yonex Frisco Open (for B, Members Only, Senior Events)",2023 Yonex Frisco Open Championships,102
"2024 Yonex Frisco Open (for B, Members Only, Senior Events)",Nexus Badminton - Mar 2024 Spring Open (Doubles/Mixed),10
2023 Yonex Frisco Open Championships,2022 Austin Open,88
2023 Yonex Frisco Open Championships,2022 YONEX First Ever Foundation Charity Tournament,48
BWF World Junior Championships 2017,LI NING BWF World Junior Championship 2018,145
BWF World Junior Championships 2017,YONEX Dutch Junior 2017,120
BWF World Junior Championships 2017,SCG Badminton Asia Junior Championships 2016 ( Individual Event ),70
BWF World Junior Championships 2017,Blibli.com Badminton Asia U17 & U15 Junior Championships 2015,70
BWF World Junior Championships 2017,Youth Olympic Games 2018,31
2024 Chicago Senior Open Championship,2023 Chicago Senior Open Championship,52
2013 YONEX IBC Open,2014 IBC Open,28
2013 YONEX IBC Open,2014 IBC Challenge,20
2013 YONEX IBC Open,2020 IBC Senior Mixed Doubles 80+,6
Uganda International Challenge 2024,Uganda International Challenge 2023,70
Uganda International Challenge 2024,Uganda International Series 2023,51
Uganda International Challenge 2024,Uganda Junior International 2024,47
Uganda International Challenge 2024,Uganda Junior International 2023,39
VI Guatemala International Series 2019,X Internacional Mexicano 2019,37
Perú International 2019,Perú Future Series 2019,33
2021 YONEX USA Badminton National Adult Championships,2021 SELECTION EVENT FOR JUNIOR PAN AM GAMES,23
X Internacional Mexicano 2019,XI International Mexicano 2020 (New Dates),18
V Jamaica International 2019,IV Jamaica International 2018,30
FLEET Mauritius International 2019,Mauritius International 2017,40
LI NING BWF World Junior Championship 2018,YONEX Dutch Junior 2018,141
LI NING BWF World Junior Championship 2018,BWF World Junior Championship 2019,126
LI NING BWF World Junior Championship 2018,2018 European Junior Championships,115
LI NING BWF World Junior Championship 2018,PEMBANGUNAN JAYA RAYA Junior Grand Prix 2018,99
X Santo Domingo Open 2019,IV Santo Domingo Junior International 2019,29
X Santo Domingo Open 2019,Dominican Open 2018,25
Yonex Dutch Junior 2015,Yonex Dutch Junior 2014,51
Yonex Dutch Junior 2015,YONEX Dutch Junior 2016,50
Yonex Dutch Junior 2015,Yonex Belgian Junior 2015,48
Turkey Open 2019,Turkey International 2017,70
Turkey Open 2019,CONDENSATE Kazakhstan International Series 2019,17
Zambia International 2019,South Africa International 2019,21
Perú International 2018,Perú Future Series 2018,32
CONDENSATE Kazakhstan International Series 2019,Condensate Apacs Kazakhstan International Series 2018,28
2019 IBC JUNIOR CHAMPIONSHIPS OLC,2019 YONEX Northeast OPEN REGIONAL CHAMPIONSHIPS,56
Kalayaan Cup 2022,PBCA Couples and Friends,28
"FZ FORZA OPEN 2018 $12,000",BNC OPEN 2018,81
BNC Club Championship 2019,BNC Monday League,13
BNC Club Championship 2019,2022 GCKA Badminton Tournament,4
2016 MBC New Year Junior Tournament,2014 MBC New Year Junior Tournament,22
2022 U of M Fall Open,2023 MBC Chicago Open,37
2022 U of M Fall Open,2023 TANA North Intercity Badminton Doubles Tournment,2
2016 MBC Midwest Regional Junior Championships,2016 USAB Egret Junior Open,63
2016 MBC Midwest Regional Junior Championships,2016 Mid Summer Junior Smash Off,26
2018 Egret-Chicago Closed Regional Championships,MBC Fall Open Local Championships,63
Pilot Pen National Age Group Singles 2014,"U13, U15, U17 OUE Singapore Youth International 2014",42
Pilot Pen National Age Group Singles 2014,U19 OUE Singapore Youth International 2014,11
Pilot Pen National Age Group Singles 2014,SBA Academy 2017,5
Perú Future Series 2023,Chile International 2023,21
V Guatemala Future Series 2023,III Guatemala Future Series 2022,23
V Guatemala Future Series 2023,IX Guatemala Junior International 2023,16
VIII Guatemala International Series 2022,III Guatemala Future Series 2022,24
RSL Iceland International 2023,RSL Iceland International 2024,53
YONEX Bonn International 2022,RSL Lithuanian International 2022,74
YONEX Bonn International 2022,Croatia Open 2022,73
Egret Chicago Yonex Cup 2021,2022 Egret Chicago Yonex Cup,41
Uganda International Challenge 2023,Uganda International 2022,66
Uganda International Challenge 2023,Mauritius International 2023,61
Uganda International Challenge 2023,Lagos International Classics 2023,40
Uganda International Challenge 2023,Botswana International 2022,25
III Dominican Open 2021,V Santo Domingo Junior International 2021,16
XXI Torneo Internacional de Badminton Giraldilla de La Habana 2023,XXII Torneo Internacional de Badminton Giraldilla 2024,18
ST DENIS Reunion Open 2023,Mauritius International 2023,97
ST DENIS Reunion Open 2023,ST DENIS Reunion Open 2024,33
ST DENIS Reunion Open 2023,SAINT-DENIS Réunion Open 2022,29
2022 Egret Chicago Yonex Cup,2023 MBC Chicago Open,60
Swiss Junior Int 2012,YONEX BELGIAN JUNIOR 2012,57
Yonex Riga International 2015,Yonex Lithuanian International 2015,88
Yonex Riga International 2015,Yonex Riga International 2014,44
The 5th OC Badminton Tournament,3rd Annual Orange County Badminton Tournament,17
3rd Annual Orange County Badminton Tournament,2nd Annual Orange County Badminton Tournament,37
3rd Annual Orange County Badminton Tournament,2021 Minnesota Junior Badminton Open,1
2014 NW Junior Regional,2015 NW Junior Regional 10%,54
Ryerson Invitational Exhibition,OUA Badminton Championships 2011,45
VICTOR Ascend Spring 2024 Tournament,VICTOR Ascend Winter 2024 Tournament,31
VICTOR Ascend Spring 2024 Tournament,2023 ABC Open,9
Varsity Blues Open 2013,Varsity Blues Team Round Robin 2013,17
World Police And Fire Games 2015 Badminton,2017 LA WORLD POLICE & FIRE GAMES,25
VICTOR Ascend Winter 2024 Tournament,VICTOR Ascend Fall 2023 Tournament,35
2023 ABC Open,2019 Ryerson Summer Open,16
White Nights 2017,Russian Open Grand Prix 2016,39
White Nights 2017,Russian Junior White Nights 2017,39
White Nights 2017,Russian Junior White Nights 2016,27
White Nights 2017,Yonex Lithuania Youth 2012,3
FORZA Slovenia International 2013,VICTOR Slovak Open 2012,41
Morocco International 2017,Egypt International 2017,18
FZ FORZA Slovenia International 2017,FZ Forza Slovenia International 2018,74
VICTOR Polish International 2017,YONEX Slovak Open 2017,60
Iceland International 2019,RSL Iceland International 2020,33
YONEX Estonian International 2018,YONEX Estonian International 2019,78
Hellas International 2015,Hellas Open 2016,49
YONEX Latvia International 2017,YONEX Lithuanian International 2017,122
YONEX Latvia International 2017,YONEX Latvia International 2018,88
YONEX Latvia International 2017,YONEX Latvia International 2016,71
Hellas International 2017,Turkey International 2017,39
Hellas International 2017,Hellas Open 2017,38
BABOLAT Bulgarian International 2017,Hellas International 2018,43
Turkey International 2017,Turkey International 2018,84
Turkey International 2017,I.B.B. Turkey International 2016,80
Turkey International 2017,Turkey Junior 2017,61
Azerbaijan International 2024,32nd Iran Fajr International Challenge 2024,52
Azerbaijan International 2024,CONDENSATE Kazakhstan International Challenge 2024,45
Uganda International 2018,Uganda Junior International 2018,35
Uganda International 2018,Uganda International 2022,30
Uganda International 2018,UGANDA COMMUNICATIONS COMMISSION OPEN BADMINTON TOURNAMENT 2013,22
Uganda International 2018,Zambia International 2017,21
Uganda International 2018,TAIBAH SCHOOLS BADMINTON TOURNAMENT 2017,19
BABOLAT Bulgarian International Championship 2021,DECATHLON PERFLY Italian International 2021,65
BABOLAT Bulgarian International Championship 2021,Cyprus International 2021,36
VICTOR Ukraine Open 2022,FZ FORZA Ukraine Junior 2019,27
Algeria International 2019,Cameroon International 2019,19
Belarus International 2019,RSL Lithuanian International 2019,43
Egypt International 2017,Egypt Junior International 2017,41
Egypt International 2017,Algeria Junior International 2017,19
I.B.B. Turkey International 2016,Turkey Junior International 2013,23
YONEX Bonn International 2024,Austrian Open 2024,91
YONEX Bonn International 2024,YONEX Bonn International 2023,85
Cyprus International 2021,Cyprus Junior 2020 (New dates),17
47th VICTOR FZ FORZA Hungarian International Championships 2022,46th VICTOR FZ FORZA Hungarian International Championships 2021,81
YONEX Slovenia Future Series 2021,Slovak Open 2022,72
YONEX Slovenia Future Series 2021,YONEX Slovenia International 2021,68
YONEX Slovenia Future Series 2021,FZ FORZA Bulgarian International Championship 2020,24
Malta International 2024 presented by VICTOR,VICTOR Croatian International 2023,73
YONEX Slovenia Future Series 2022,YONEX Bonn International 2023,63
YONEX Slovenia Future Series 2022,IBERDROLA Spanish International 2022 (New dates),58
YONEX Czech Open 2023,KAWASAKI Slovak Open 2024,68
48th VICTOR FZ FORZA Hungarian International Championships 2023,VICTOR Croatian International 2023,75
VICTOR Croatian International 2023,YONEX Slovenia Future Series 2023,74
VICTOR Croatian International 2023,YONEX Bulgarian International Championship 2023,55
I FEEL SLOVENIA LI-NING Open 2024,Austrian Open 2024,197
59 Portugal International Championships 2024,FZ FORZA Dutch International 2024,78
59 Portugal International Championships 2024,IBERDROLA Spanish International 2023,66
VICTOR Croatian International 2022,Bulgarian International Championship 2022,46
TUI MEDICAL Waikato International 2017,VICTOR Oceania Championships 2018,51
Yonex Slovak Open 2015,Victor Slovak Junior 2013,31
YONEX Estonian International 2019,YONEX Latvia International 2018,76
Venezuela International 2023,Venezuela Open 2024,13
Scottish Open 2019,VICTOR Welsh International 2019,78
YONEX Welsh International Badminton Championships 2023,Scottish Open 2023,122
YONEX Welsh International Badminton Championships 2023,YONEX Belgian International 2023,96
YONEX Welsh International Badminton Championships 2023,FZ FORZA Nantes International Challenge 2024,83
III PERU International Series 2017,Nacional Adulto 2015,6
32nd Iran Fajr International Challenge 2024,5th Iran Junior International Series 2024,15
Cameroon International 2019,Cameroon International 2018,17
South Africa International 2019,All Africa Individual Championships 2020,28
South Africa International 2019,South Africa Junior International 2019,22
South Africa International 2019,Botswana International 2019,21
South Africa International 2019,South Africa International 2018,18
South Africa International 2019,South Africa Junior International 2017,17
Uganda International 2022,All Africa Individual Championships 2022,43
Uganda International 2022,Uganda International 2021,33
Uganda International 2022,All Africa Under 19 Individual Championship 2021,17
YONEX Belgian International 2023,YONEX Dutch Open 2023,96
YONEX Belgian International 2023,YONEX Luxembourg Open 2024,89
YONEX Belgian International 2023,VICTOR Swedish Open 2024,81
Lagos International Classics 2023,Cameroon International 2023,29
YONEX Lithuanian International 2018,YONEX Latvia International 2018,155
YONEX Lithuanian International 2018,RSL Lithuanian International 2019,91
YONEX Lithuanian International 2018,Belarus International 2018,56
YONEX Lithuanian International 2018,Hatzor International 2018,21
FZ FORZA Slovak Open 2019,YONEX Slovak Open 2018,57
FZ FORZA Slovak Open 2019,Czech Junior 2016,43
Yonex Lithuanian International 2015,YONEX Lithuanian International 2016,55
Yonex Lithuanian International 2015,Yonex Lithuanian International 2014,47
VICTOR Swedish Open 2020,FZ FORZA Norwegian International 2019,92
Lithuanian Open 2013,Klaipedos badmintonui 50,14
Lithuanian Open 2013,Vasara2012,3
THWACK CZECH JUNIOR INTERNATIONAL ORLOVÁ 2012,Victor Slovak Junior 2013,45
THWACK CZECH JUNIOR INTERNATIONAL ORLOVÁ 2012,Israel Junior International Badminton tournament 2012,10
31st Iran Fajr International Challenge 2023,XPORA Indonesia International Challenge 2023,53
31st Iran Fajr International Challenge 2023,Iran Junior International Series 2022,10
Mercosul International 2014,III Argentina International 2014,64
Mercosul International 2014,I Mercosul International Series 2013,34
III Argentina International 2014,III Venezuela Internacional 2014,30
III Argentina International 2014,ARGENTINA INTERNACIONAL 2013,30
III Argentina International 2014,V Argentina Internacional,10
III Venezuela Internacional 2014,II Venezuela International 2013,17
Tajikistan International Series 2023,APACS Kazakhstan International Series 2023,20
Tajikistan International Series 2023,CONDENSATE Kazakhstan International Challenge 2024,18
Tajikistan International Series 2023,Badminton Asia Central Asia Regional Junior Championships 2022 (Individual Event),8
Hatzor International 2018,Hatzor International 2017,36
Hatzor International 2018,Hatzor International 2019,25
YONEX Israel Open 2022,Malta International 2022 presented by VICTOR,23
Zambia International 2017,Zambia International 2018,37
Zambia International 2017,Zambia Junior International 2017,34
Zambia International 2017,Botswana International 2017,30
YONEX Latvia International 2016,YONEX Lithuanian International 2016,96
AIG FZ FORZA Irish Open 2022,FZ FORZA Norwegian International 2022,62
Mauritius International 2018,Mauritius International 2017,38
Hatzor International 2016,Hatzor International 2017,21
Hatzor International 2016,Hatzor International 2013,10
YONEX Luxembourg Open 2022,FZ FORZA Dutch International 2022,77
M SR dospelých,M SR U17 Trenčín,7
Hellas International 2019,Hellas International 2018,39
B.A.B.B. German International 2019,YONEX Latvia International 2019,51
LISC Badminton Fall Open 2016,2016 Yonex IBC Open,17
Hatzor International 2013,HATZOR NATIONAL SINGLES,11
YONEX Latvia International 2018,Yonex Lithuanian Junior 2015,32
XV GIRALDILLA BADMINTON TOURNAMENT 2014,Carebaco International 2013,19
RSL Lithuanian International 2019,YONEX Latvia International 2019,127
YONEX Latvia International 2019,YONEX Latvia International 2020 (New Dates),28
VICTOR Welsh International 2019,VICTOR Welsh International 2018,92
Mauritius International 2023,Botswana International 2023,29
Mauritius International 2023,South Africa International 2023,27
VICTOR Swedish Open 2024,YONEX Estonian International 2024,89
Brazil International Series 2023,Brazil International Series 2022,34
Victor Walikota Surabaya Cup 2014,VICTOR EXIST Jakarta Open Junior International Championships 2017,47
Kawasaki - Biere Larue Vietnam International Series 2014,Ciputra Hanoi Vietnam International Challenge 2013,52
2017 PAANC 4th Annual Charity Badminton Tournament,BNC OPEN 2017,22
Hurricane help,BNC OPEN 2018,15
2022 Vitality Cup Chinese Collegiate Badminton Tournament sponsored by Chinese Embassy,North Carolina Chinese Collegiate Badminton Open,25
2019 Madison Open,2019 Steve Rader Open,34
Steve Rader 2024,2023 Madison Open,28
California State Games 2018,California State Games 2017,39
2017 PBCA MASTERS TOURNAMENT,2017 PBCA Oktoberfest Toma-Ment,26
2018 Yonex Frisco Open,2019 Yonex Frisco Dallas Open,62
2018 Yonex Frisco Open,SoonerOpen2018,6
Autumn Mix 2022,OktoBeerFest 2022,20
PLAY FOR NEPAL,SMASH C! A FUNDRAISING TOURNAMENT,33
2019 PBCA Bad Boys Meet Divas Tournament,PBCA Oktoberfest 2018 Toma-ment,40
2021 NY OPEN - DOWNEY CUP,2024 NY CHAMPIONSHIP - FH FAMILY FUNDED,39
SMASH C! A FUNDRAISING TOURNAMENT,2015 PBCA OPEN AUTUMN MIX,27
Kelowna Junior 2010,Kelowna Junior 2011,29
Kelowna Junior 2011,2012 Kelowna Junior,36
2012 Kelowna Junior,2013 Kelowna Junior,13
Kelowna Adult Open 2023,Kelowna Open 2023,16
1st Annual Chinese Cup Jr Tournament 2013,Remembrance - Memorial Day 2013 - Junior B,6
NW Open Local Championships,SBC Open Local Championships,81
UCF Fall 2018 Tournament,UCF Fall 2019 Tournament,40
UCF Fall 2018 Tournament,Miami Open Spring 2019,11
SBC Open Local Championships,2018 SBC CLOSED REGIONAL CHAMPIONSHIPS,70
SBC Open Local Championships,Oregon Badminton Academy CRC,65
2012 Baroda Open Tournament Final,PICFARE SCHOOLS BADMINTON TOURNAMENT 2012,34
ComputerPoint Badminton Open Tournament 2013,UGANDA COMMUNICATIONS COMMISSION OPEN BADMINTON TOURNAMENT 2013,88
ComputerPoint Badminton Open Tournament 2013,CRANE BANK BADMINTON OPEN TOURNAMENT 2013,48
PICFARE SCHOOLS BADMINTON TOURNAMENT 2013,PICFARE SCHOOLS BADMINTON TOURNAMENT 2012,69
PICFARE SCHOOLS BADMINTON TOURNAMENT 2013,UGANDA COMMUNICATIONS COMMISSION OPEN BADMINTON TOURNAMENT 2013,44
CITY TYRES TAMIZH SANGAM BADMINTON OPEN TOURNAMENT 2013,UGANDA COMMUNICATIONS COMMISSION OPEN BADMINTON TOURNAMENT 2013,85
All Africa Individual Championships 2019,African Games 2019 - Individual Event,49
All Africa Individual Championships 2019,All Africa Individual Championships 2020,40
All Africa Individual Championships 2019,Ivory Coast Junior International 2017,18
